Conflict,Parent Conflict,Blak Hx,From,To
Frontier Wars,,TRUE,1788,1934
Pemulwuy's War,Frontier Wars,TRUE,1790,1802
Sydney Cove War,Frontier Wars,TRUE,1790,1800
Hawkesbury and Nepean Wars,Frontier Wars,TRUE,1794,1816
Black Wars,Hawkesbury and Nepean Wars,TRUE,1799,1805
Tedbury's War,Hawkesbury and Nepean Wars,TRUE,1802,1810
Castle Hill Convict Rebellion,,FALSE,1804,1804
Rum Rebellion,,FALSE,1808,1810
Hawkesbury Nepean War,Hawkesbury and Nepean Wars,TRUE,1814,1816
Bathurst War,Frontier Wars,TRUE,1824,1824
1826 Norfolk Island Convict Rebellion,,FALSE,1826,1826
Black War - Tasmania,Frontier Wars,TRUE,1828,1832
Port Phillip District Wars,Frontier Wars,TRUE,1830,1850
The Eumaralla Wars,Frontier Wars,TRUE,1834,1849
1834 Norfolk Island Convict Rebellion,,FALSE,1834,1834
Wiradjuri Wars,Frontier Wars,TRUE,1838,1841
The MacIntyre River War,Frontier Wars,TRUE,1840,1849
Mandandanji Land War,Frontier Wars,TRUE,1842,1852
1842 Norfolk Island Convict Rebellion,,FALSE,1842,1842
War of Southern Queensland,Frontier Wars,TRUE,1843,1855
Port Augusta War,Frontier Wars,TRUE,1844,1845
New Zealand Wars,,TRUE,1845,1872
Flagstaff War,New Zealand Wars,TRUE,1845,1846
Hutt Valley Campaign,New Zealand Wars,TRUE,1846,1846
Whanganui Campaign,New Zealand Wars,TRUE,1847,1847
Eureka Rebellion,,FALSE,1851,1854
Buckland anti-Chinese race riot,,TRUE,1857,1857
First Taranaki War,New Zealand Wars,TRUE,1860,1861
Lambing Flat anti-Chinese race riots,,TRUE,1860,1861
Second Taranaki War,New Zealand Wars,TRUE,1863,1866
Waikato Wars,New Zealand Wars,TRUE,1863,1864
Tauranga Campaign,New Zealand Wars,TRUE,1864,1864
East Cape War,New Zealand Wars,TRUE,1865,1866
Te Kooti's War,New Zealand Wars,TRUE,1868,1872
Titokowaru's War,New Zealand Wars,TRUE,1868,1869
Kalkadoon Wars,Frontier Wars,TRUE,1870,1890
Arnhem Wars,Frontier Wars,TRUE,1880,1900
Mahdist War - Sudan,,FALSE,1885,1885
Third Anglo-Burmese War,,FALSE,1886,1887
Jandamarra Guerilla War,Frontier Wars,TRUE,1894,1897
Second Boer War - South Africa,,FALSE,1899,1902
Boxer Rebellion - China,,FALSE,1900,1901
World War 1,,FALSE,1914,1918
Battle of Cocos,World War 1,FALSE,1914,1914
German New Guinea,World War 1,FALSE,1915,1915
Mesopotamia Campaign,World War 1,FALSE,1915,1918
Gallipoli,World War 1,FALSE,1915,1915
Serbian Campaign,World War 1,FALSE,1915,1918
Sinai and Palestine,World War 1,FALSE,1916,1918
Western Front - Belgium and France,World War 1,FALSE,1916,1918
Liverpool Riot,World War 1,TRUE,1916,1916
Russian Civil War,,FALSE,1918,1920
Armenian-Azerbaijani War,World War 1 and Russian Civil War,FALSE,1918,1920
Egyptian Revolution of 1919,,FALSE,1918,1919
Broome race riots,,TRUE,1920,1920
1927 Malaita Punitive Expedition - Solomon Islands,,FALSE,1927,1927
Emu War,,FALSE,1932,1932
World War 2,,FALSE,1939,1945
Sinking of HMAS Sydney,World War 2,FALSE,1941,1941
Libya and the siege of Tobruk,World War 2,FALSE,1941,1941
Greece and Crete,World War 2,FALSE,1941,1941
Syria and Lebanon,World War 2,FALSE,1941,1941
Anglo-Iraqi War,World War 2,FALSE,1941,1941
"Fall of Malaya, Rabaul, Singapore, Ambon, Timor, Java",World War 2,FALSE,1941,1942
Japanese occupation of Nauru,World War 2,FALSE,1942,1945
Papua New Guinea and Coral Sea defence,World War 2,FALSE,1942,1943
Attack on Sydney Harbour,World War 2,FALSE,1942,1942
Shelling of Newcastle,World War 2,FALSE,1942,1942
Bombing of Darwin,World War 2,FALSE,1942,1942
Attack on Broome,World War 2,FALSE,1942,1942
El Alamein,World War 2,FALSE,1942,1942
Townsville mutiny,World War 2,TRUE,1942,1942
Battle of Brisbane riot,World War 2,TRUE,1942,1942
Retaking of Pacific Islands,World War 2,FALSE,1943,1945
Bombing raid on Darwin,World War 2,FALSE,1943,1943
Shelling of Port Gregory,World War 2,FALSE,1943,1943
Cowra Breakout,World War 2,FALSE,1944,1944
Indonesia (Peacekeeping),,FALSE,1947,1951
Kashmir (Peacekeeping),,FALSE,1950,1985
Malayan Emergency,,FALSE,1950,1960
Korean War,,FALSE,1950,1953
Korea (Peacekeeping),,FALSE,1953,1957
Israel - Operation Paladin (Peacekeeping),,FALSE,1956,Current
Congo (Peacekeeping),,FALSE,1960,1961
West New Guinea (Peacekeeping),,FALSE,1962,1963
Borneo Confrontation - Konfrantasi,,FALSE,1963,1966
Yemen (Peacekeeping),,FALSE,1963,1963
Cyprus (Peacekeeping),,FALSE,1964,Current
Vietnam War,,FALSE,1965,1973
Phước Tuy province,Vietnam War,FALSE,1966,1973
Battle of Long Tan,Vietnam War,FALSE,1966,1966
Operation Bribie,Vietnam War,FALSE,1967,1967
Tet Offensive,Vietnam War,FALSE,1968,1968
Bình Dương province,Vietnam War,FALSE,1968,1968
Battle of Bình Ba,Vietnam War,FALSE,1969,1969
India/Pakistan Border (Peacekeeping),,FALSE,1965,1966
Israel/Syria Border (Peacekeeping),,FALSE,1974,1974
Operation Mazurka - Sinai (Peacekeeping),,FALSE,1976,1979
Lebanon (Peacekeeping),,FALSE,1978,1978
Zimbabwe (Peacekeeping),,FALSE,1979,1980
Operation Mazurka - Sinai (Peacekeeping),,FALSE,1982,1986
Brewarrina riot,,TRUE,1987,1987
Iran (Peacekeeping),,FALSE,1988,1990
Thailand/Cambodia Border (Peacekeeping),,FALSE,1989,1993
Afghanistan - UN mine clearance training (Peacekeeping),,FALSE,1989,1993
Namibia - UNTAG (Peacekeeping),,FALSE,1989,1990
Gulf War,,FALSE,1990,1991
Iraq (Peacekeeping),,FALSE,1991,1999
Western Sahara (Peacekeeping),,FALSE,1991,1994
Cambodia - UNTAC (Peacekeeping),,FALSE,1991,1993
Iraqi Kurdistan - Operation Habitat (Peacekeeping),,FALSE,1991,1991
Somalia - Operation Solace (Peacekeeping),,FALSE,1992,1995
Yugoslavia (Peacekeeping),,FALSE,1992,1992
Operation Mazurka - Sinai (Peacekeeping),,FALSE,1993,Current
Mozambique (Peacekeeping),,FALSE,1994,2002
Rwanda (Peacekeeping),,FALSE,1994,1995
Haiti (Peacekeeping),,FALSE,1994,1995
Bougainville (Peacekeeping),,FALSE,1994,1994
Afghanistan Civil War,,FALSE,1996,2001
Yugoslavia (Peacekeeping),,FALSE,1997,Current
Bougainville (Peacekeeping),,FALSE,1997,2003
Guatemala (Peacekeeping),,FALSE,1997,1997
Kosovo (Peacekeeping),,FALSE,1999,Current
East Timor / Timor-Leste (Peacekeeping),,FALSE,1999,2013
1999 East Timor Crisis,East Timor / Timor-Leste (Peacekeeping),FALSE,1999,2000
Ethiopia / Eritrea (Peacekeeping),,FALSE,2000,Current
Solomon Islands - RAMSI (Peacekeeping),,FALSE,2000,2013
Sierra Leone (Peacekeeping),,FALSE,2000,2003
War in Afghanistan,,FALSE,2001,2021
Uruzgan province,War in Afghanistan,FALSE,2001,2014
Operation Slipper,War in Afghanistan,FALSE,2001,2014
Operation Palate,War in Afghanistan,FALSE,2003,2004
Operation Palate II,War in Afghanistan,FALSE,2005,2017
Solomon Islands - Operation Anode,,FALSE,2003,2013
Iraq War,,FALSE,2003,2009
Redfern riots,,TRUE,2004,2004
Sudan - UNMIS and Operation Azure (Peacekeeping),,FALSE,2005,2011
Cronulla race riots,,TRUE,2005,2005
2006 Timor-Leste Crisis - Operation Astute,East Timor / Timor-Leste (Peacekeeping),FALSE,2006,2013
Iraqi Civil War,Iraq War,FALSE,2006,2008
Dafur - Operation Hedgerow (Peacekeeping),,FALSE,2007,Current
Operation Ocean Shield,Somali Piracy,FALSE,2009,2016
South Sudan - UNMISS and Operation Aslan (Peacekeeping),,FALSE,2011,Current
Iraqi Civil War,Spill over of Syrian Civil War and ISIL,FALSE,2013,2017
War on ISIL and al-Qaeda,"Iraq, Syria, Libya, Nigeria, and Afghanistan",FALSE,2014,Current
Syrian Civil War intervention,,FALSE,2014,2017
Islamic State Insurgency - Iraq,,FALSE,2017,Current
Marawi Crisis - Philippines,,FALSE,2017,2017
Persian Gulf Crisis,,FALSE,2019,Current
COVID-19 protests,,FALSE,2020,2020
