Clarence,"Clarence, Western Australia",Clarence,Western Australia,"https://en.wikipedia.org/wiki/Clarence,_Western_Australia",,,0.0,0.0,1829.0,1829.0,0.0
Gladstone,"Gladstone, New South Wales (page does not exist)",Gladstone,New South Wales (page does not exist),"https://en.wikipedia.org/w/index.php?title=Gladstone,_New_South_Wales&action=edit&redlink=1",,,0.0,0.0,nan,nan,nan
Greenhill,"Greenhill, New South Wales (page does not exist)",Greenhill,New South Wales (page does not exist),"https://en.wikipedia.org/w/index.php?title=Greenhill,_New_South_Wales&action=edit&redlink=1",,,0.0,0.0,nan,nan,nan
[4],,[4],,,,,0.0,0.0,nan,nan,nan
Kimovale,"Kimovale, New South Wales (page does not exist)",Kimovale,New South Wales (page does not exist),"https://en.wikipedia.org/w/index.php?title=Kimovale,_New_South_Wales&action=edit&redlink=1",,,0.0,0.0,nan,nan,nan
Mallanganee,"Mallanganee, New South Wales (page does not exist)",Mallanganee,New South Wales (page does not exist),"https://en.wikipedia.org/w/index.php?title=Mallanganee,_New_South_Wales&action=edit&redlink=1",,,0.0,0.0,nan,nan,nan
Numbaa,"Numbaa, New South Wales (page does not exist)",Numbaa,New South Wales (page does not exist),"https://en.wikipedia.org/w/index.php?title=Numbaa,_New_South_Wales&action=edit&redlink=1",,,0.0,0.0,nan,nan,nan
Tuntable Creek,"Tuntable Creek, New South Wales (page does not exist)",Tuntable Creek,New South Wales (page does not exist),"https://en.wikipedia.org/w/index.php?title=Tuntable_Creek,_New_South_Wales&action=edit&redlink=1",,,0.0,0.0,nan,nan,nan
List of towns and cities in Australia by year of settlement,List of towns and cities in Australia by year of settlement,List of towns and cities in Australia by year of settlement,,https://en.wikipedia.org/wiki/List_of_towns_and_cities_in_Australia_by_year_of_settlement,,,0.0,0.0,0.0,nan,0.0
Cairncross Parish (Macquarie County),"Cairncross Parish (Macquarie County), New South Wales","Cairncross Parish (Macquarie County), New South Wales",New South Wales,"https://en.wikipedia.org/wiki/Cairncross_Parish_(Macquarie_County),_New_South_Wales",,,0.0,0.0,0.0,nan,0.0
Canpadore,"Canpadore, Yanda","Canpadore, Yanda",New South Wales,"https://en.wikipedia.org/wiki/Canpadore,_Yanda",,,0.0,0.0,0.0,nan,0.0
Illalong,Illalong,Illalong,New South Wales,https://en.wikipedia.org/wiki/Illalong,,,0.0,0.0,0.0,nan,0.0
Kenindee,"Kenindee, Yanda","Kenindee, Yanda",New South Wales,"https://en.wikipedia.org/wiki/Kenindee,_Yanda",,,0.0,0.0,0.0,nan,0.0
Momble,"Momble, Yanda","Momble, Yanda",New South Wales,"https://en.wikipedia.org/wiki/Momble,_Yanda",,,0.0,0.0,0.0,nan,0.0
Mount Browne,Mount Browne,Mount Browne,New South Wales,https://en.wikipedia.org/wiki/Mount_Browne,,,0.0,0.0,0.0,nan,0.0
Nadbuck,"Nadbuck, Yancowinna County","Nadbuck, Yancowinna County",New South Wales,"https://en.wikipedia.org/wiki/Nadbuck,_Yancowinna_County",,,0.0,0.0,0.0,nan,0.0
Naradin,"Naradin, Yancowinna County","Naradin, Yancowinna County",New South Wales,"https://en.wikipedia.org/wiki/Naradin,_Yancowinna_County",,,0.0,0.0,0.0,nan,0.0
Northern Villages (Southern Highlands,"Northern Villages (Southern Highlands, New South Wales)","Northern Villages (Southern Highlands, New South Wales)",New South Wales,"https://en.wikipedia.org/wiki/Northern_Villages_(Southern_Highlands,_New_South_Wales)",,,0.0,0.0,0.0,nan,0.0
Parish of Donalroe,Parish of Donalroe,Parish of Donalroe,New South Wales,https://en.wikipedia.org/wiki/Parish_of_Donalroe,,,0.0,0.0,0.0,nan,0.0
Purnamoota,Purnamoota,Purnamoota,New South Wales,https://en.wikipedia.org/wiki/Purnamoota,,,0.0,0.0,0.0,nan,0.0
Wallarunga,"Wallarunga, New South Wales","Wallarunga, New South Wales",New South Wales,"https://en.wikipedia.org/wiki/Wallarunga,_New_South_Wales",,,0.0,0.0,0.0,nan,0.0
Template:Bruce Highway towns,Template:Bruce Highway towns,Template:Bruce Highway towns,Queensland,https://en.wikipedia.org/wiki/Template:Bruce_Highway_towns,,,0.0,0.0,0.0,nan,0.0
List of cities and towns in South Australia,List of cities and towns in South Australia,List of cities and towns in South Australia,South Australia,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_South_Australia,,,0.0,0.0,0.0,nan,0.0
Angas Park,"Angas Park, South Australia","Angas Park, South Australia",South Australia,"https://en.wikipedia.org/wiki/Angas_Park,_South_Australia",,,0.0,0.0,0.0,nan,0.0
Village Settlements (South Australia),Village Settlements (South Australia),Village Settlements (South Australia),South Australia,https://en.wikipedia.org/wiki/Village_Settlements_(South_Australia),,,0.0,0.0,0.0,nan,0.0
List of localities in Tasmania,List of localities in Tasmania,List of localities in Tasmania,Tasmania,https://en.wikipedia.org/wiki/List_of_localities_in_Tasmania,,,0.0,0.0,0.0,nan,0.0
Branxholm,"Branxholm, Tasmania","Branxholm, Tasmania",Tasmania,"https://en.wikipedia.org/wiki/Branxholm,_Tasmania",,,0.0,0.0,0.0,nan,0.0
East Grinstead,"East Grinstead, Tasmania","East Grinstead, Tasmania",Tasmania,"https://en.wikipedia.org/wiki/East_Grinstead,_Tasmania",,,0.0,0.0,0.0,nan,0.0
Maitland,"Maitland, Tasmania","Maitland, Tasmania",Tasmania,"https://en.wikipedia.org/wiki/Maitland,_Tasmania",,,0.0,0.0,0.0,nan,0.0
Ferndale,"Ferndale, Victoria","Ferndale, Victoria",Victoria,"https://en.wikipedia.org/wiki/Ferndale,_Victoria",,,0.0,0.0,0.0,nan,48.0
Kangaroo Ground,"Kangaroo Ground, Victoria","Kangaroo Ground, Victoria",Victoria,"https://en.wikipedia.org/wiki/Kangaroo_Ground,_Victoria",,,0.0,0.0,0.0,nan,1208.0
Kimbolton,"Kimbolton, Victoria","Kimbolton, Victoria",Victoria,"https://en.wikipedia.org/wiki/Kimbolton,_Victoria",,,0.0,0.0,0.0,nan,73.0
Kirkstall,"Kirkstall, Victoria","Kirkstall, Victoria",Victoria,"https://en.wikipedia.org/wiki/Kirkstall,_Victoria",,,0.0,0.0,0.0,nan,0.0
Ladys Pass,Ladys Pass,Ladys Pass,Victoria,https://en.wikipedia.org/wiki/Ladys_Pass,,,0.0,0.0,0.0,nan,111.0
Landsborough,"Landsborough, Victoria","Landsborough, Victoria",Victoria,"https://en.wikipedia.org/wiki/Landsborough,_Victoria",,,0.0,0.0,0.0,nan,0.0
List of towns in Western Australia,List of towns in Western Australia,List of towns in Western Australia,Western Australia,https://en.wikipedia.org/wiki/List_of_towns_in_Western_Australia,,,0.0,0.0,0.0,nan,0.0
Boorabbin,"Boorabbin, Western Australia","Boorabbin, Western Australia",Western Australia,"https://en.wikipedia.org/wiki/Boorabbin,_Western_Australia",,,0.0,0.0,0.0,nan,0.0
